name,artist,,,tags,,year,,,,,,,,,
The Middle,Jimmy Eat World,,,"rock, alternative, indie, pop, alternative_rock, punk, indie_rock, punk_rock, emo",,2001,,,,,,,,,
Gimme Shelter,The Rolling Stones,,,"rock, classic_rock, british, 60s",,1971,,,,,,,,,
My Hero,Foo Fighters,,,"rock, alternative, alternative_rock, hard_rock, 90s, grunge",,1997,,,,,,,,,
All Along the Watchtower,Jimi Hendrix,,,"rock, classic_rock, blues, psychedelic, 60s, psychedelic_rock, guitar, cover",,2009,,,,,,,,,
Hey There Delilah,Plain White T's,,,"rock, alternative, indie, pop, indie_rock, acoustic, emo, love, beautiful, mellow",,2006,,,,,,,,,
When the Sun Goes Down,Arctic Monkeys,,,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",,2006,,,,,,,,,
Like a Rolling Stone,Bob Dylan,,,"rock, classic_rock, folk, singer_songwriter, acoustic, 60s, oldies",,2014,,,,,,,,,
The House of the Rising Sun,The Animals,,,"rock, classic_rock, british, 60s, oldies, blues_rock",,2013,,,,,,,,,
Come Together,The Beatles,,,"rock, pop, classic_rock, british, psychedelic, 60s, oldies",,2014,,,,,,,,,
What I've Done,Linkin Park,,,"rock, alternative, metal, alternative_rock, nu_metal",,2007,,,,,,,,,
Dumb,Nirvana,,,"rock, alternative, alternative_rock, 90s, grunge",,1993,,,,,,,,,
Airbag,Radiohead,,,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, britpop",,2012,,,,,,,,,
B.Y.O.B.,System of a Down,,,"rock, alternative, metal, alternative_rock, hard_rock, heavy_metal, nu_metal",,2005,,,,,,,,,
Sympathy for the Devil,The Rolling Stones,,,"rock, classic_rock, british, 60s",,1995,,,,,,,,,
Alive,Pearl Jam,,,"rock, alternative, alternative_rock, 90s, grunge",,2015,,,,,,,,,
Immigrant Song,Led Zeppelin,,,"rock, classic_rock, hard_rock, british, 70s",,2003,,,,,,,,,
15 Step,Radiohead,,,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, britpop",,2007,,,,,,,,,
Money,Pink Floyd,,,"rock, classic_rock, progressive_rock, british, psychedelic, 70s, psychedelic_rock",,1973,,,,,,,,,
Loser,Beck,,,"rock, alternative, indie, alternative_rock, indie_rock, singer_songwriter, 90s",,2007,,,,,,,,,
Let It Be,The Beatles,,,"rock, pop, classic_rock, british, piano, 60s, oldies",,2012,,,,,,,,,
Dancing Shoes,Arctic Monkeys,,,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",,2006,,,,,,,,,
Eye of the Tiger,Survivor,,,"rock, classic_rock, hard_rock, 80s, soundtrack",,2006,,,,,,,,,
Drive,Incubus,,,"rock, alternative, indie, alternative_rock, 90s, acoustic",,2009,,,,,,,,,
Aerials,System of a Down,,,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",,2011,,,,,,,,,
All I Need,Radiohead,,,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, love, beautiful, britpop",,2007,,,,,,,,,
Ace of Spades,Motörhead,,,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",,1984,,,,,,,,,
Ruby,Kaiser Chiefs,,,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, 00s, britpop",,2007,,,,,,,,,
1901,Phoenix,,,"rock, electronic, alternative, indie, pop, indie_rock, dance, indie_pop, french",,2009,,,,,,,,,
Sunshine of Your Love,Cream,,,"rock, classic_rock, blues, psychedelic, 60s, psychedelic_rock, blues_rock",,1967,,,,,,,,,
Beat It,Michael Jackson,,,"rock, pop, dance, 80s, funk",,1995,,,,,,,,,
