name,artist,,,tags,,year,,,,,,,,,
Murder Is Masturbation,Nothingface,,,"metal, hard_rock, metalcore, nu_metal",,2003,,,,,,,,,
Dial M For Murder,A Bullet For Pretty Boy,,,"metalcore, post_hardcore, screamo",,2008,,,,,,,,,
The Bacchanal Affair,It Dies Today,,,"metal, metalcore, screamo",,2006,,,,,,,,,
The Black Hole,HORSE the band,,,"metalcore, post_hardcore",,2005,,,,,,,,,
Big Bad Wolf,In This Moment,,,"metal, metalcore, nu_metal",,2014,,,,,,,,,
Strength in Numbers,Times of Grace,,,metalcore,,2011,,,,,,,,,
Hollow Bodies,blessthefall,,,"metalcore, post_hardcore, screamo",,2013,,,,,,,,,
Severed Ties Yield Severed Heads,It Dies Today,,,"metalcore, screamo",,2004,,,,,,,,,
Run Free,Asking Alexandria,,,"hardcore, metalcore, post_hardcore, screamo",,2012,,,,,,,,,
Capeside Rock,From Autumn To Ashes,,,"hardcore, metalcore, post_hardcore, screamo",,2001,,,,,,,,,
Four Walls,While She Sleeps,,,"hard_rock, heavy_metal, british, metalcore, post_hardcore",,2015,,,,,,,,,
Cultivate,Mudvayne,,,"rock, metal, heavy_metal, metalcore, nu_metal",,2006,,,,,,,,,
"Vipers, Snakes, And Actors",Norma Jean,,,"hardcore, metalcore",,2008,,,,,,,,,
Atlas,Parkway Drive,,,metalcore,,2012,,,,,,,,,
Break Down the Walls,Asking Alexandria,,,"metalcore, post_hardcore",,2013,,,,,,,,,
Depressionista,Every Time I Die,,,"hardcore, metalcore, screamo",,2007,,,,,,,,,
Eating a Book,He Is Legend,,,"rock, hardcore, metalcore, post_hardcore, screamo",,2004,,,,,,,,,
Undying,Demon Hunter,,,"metal, metalcore",,2002,,,,,,,,,
Carry Me Down,Demon Hunter,,,"metal, metalcore",,2009,,,,,,,,,
The Lines,Beartooth,,,"hardcore, metalcore, post_hardcore",,2014,,,,,,,,,
Birth Of The Anti Mother,Norma Jean,,,"metal, hardcore, metalcore, screamo, nu_metal",,2008,,,,,,,,,
Panda <3 Penguin,One Morning Left,,,"electronic, metalcore, post_hardcore, screamo",,2009,,,,,,,,,
Delusions of Grandeur,From Autumn To Ashes,,,"hardcore, metalcore, emo, post_hardcore, screamo",,2007,,,,,,,,,
Absent Are The Saints,36 Crazyfists,,,"metalcore, post_hardcore",,2009,,,,,,,,,
666,I Killed the Prom Queen,,,"metalcore, melodic_death_metal",,2006,,,,,,,,,
Swallowing Razorblades,Parkway Drive,,,"metal, hardcore, metalcore",,2013,,,,,,,,,
Mouth,Fear Before The March Of Flames,,,"experimental, hardcore, metalcore, post_hardcore, screamo",,2006,,,,,,,,,
Letting You Go,Bullet for My Valentine,,,"metal, hard_rock, heavy_metal, hardcore, metalcore, emo",,2018,,,,,,,,,
You Deserve Nothing and I Hope You Get Less,blessthefall,,,"metalcore, post_hardcore, screamo",,2009,,,,,,,,,
Feeding Frenzy,Walls of Jericho,,,"hardcore, metalcore",,2008,,,,,,,,,
Deathcar,Fightstar,,,"rock, alternative, alternative_rock, metalcore, post_hardcore, screamo",,2007,,,,,,,,,
Victims,Element Eighty,,,"rock, hard_rock, metalcore, post_hardcore, nu_metal",,2006,,,,,,,,,
In The Ashes,Greeley Estates,,,"metalcore, post_hardcore, screamo",,2009,,,,,,,,,
Lancaster,Texas in July,,,"metalcore, screamo",,2009,,,,,,,,,
New Religion,Black Veil Brides,,,"metalcore, post_hardcore",,2011,,,,,,,,,
In the Event That Everything Should Go Terribly Wrong,Every Time I Die,,,"hardcore, metalcore, screamo",,2003,,,,,,,,,
Of No Avail,Heaven Shall Burn,,,"metalcore, melodic_death_metal",,2006,,,,,,,,,
Mother Nature Is A Terrorist,Greeley Estates,,,"metalcore, post_hardcore, screamo",,2008,,,,,,,,,
Saviour,Black Veil Brides,,,"female_vocalists, alternative_rock, metalcore, post_hardcore",,2011,,,,,,,,,
Together Alone,Caliban,,,"metalcore, german, screamo",,2006,,,,,,,,,
Buffalo Gals,Every Time I Die,,,"hardcore, metalcore, screamo",,2007,,,,,,,,,
Tandem,Protest the Hero,,,"metalcore, progressive_metal, post_hardcore",,2011,,,,,,,,,
The Marvelous Slut,Every Time I Die,,,"metal, hardcore, metalcore, screamo",,2009,,,,,,,,,
Pointed To My Heart,I Killed the Prom Queen,,,"metalcore, screamo",,2004,,,,,,,,,
"Vela, Together We Await The Storm",The Human Abstract,,,"metalcore, progressive_metal",,2008,,,,,,,,,
One Good Reason Why,Bullet for My Valentine,,,"metal, hard_rock, hardcore, metalcore",,2008,,,,,,,,,
He Said Eternity,In This Moment,,,"metal, metalcore",,2007,,,,,,,,,
Guitarred and Feathered,Every Time I Die,,,"hardcore, metalcore, post_hardcore, screamo",,2006,,,,,,,,,
Ceramic,36 Crazyfists,,,"metalcore, post_hardcore, screamo, nu_metal",,2002,,,,,,,,,
Deteriorate,Demon Hunter,,,"metal, metalcore, nu_metal",,2007,,,,,,,,,
In This Moment,Ill Niño,,,"metal, metalcore, nu_metal",,2005,,,,,,,,,
Everything I Need,From Autumn To Ashes,,,"hardcore, metalcore, post_hardcore, screamo",,2007,,,,,,,,,
Dancing With The Enemy,Still Remains,,,metalcore,,2007,,,,,,,,,
Pangaea,August Burns Red,,,metalcore,,2011,,,,,,,,,
Skinwalkers,blessthefall,,,"metalcore, post_hardcore, screamo",,2009,,,,,,,,,
A 2nd Glance,A Day to Remember,,,"metalcore, post_hardcore, grunge, screamo",,2008,,,,,,,,,
Buried At Sea,Architects,,,"metal, hardcore, metalcore, post_hardcore",,2008,,,,,,,,,
Plenty Strong And Plenty Wrong,Maylene and the Sons of Disaster,,,metalcore,,2007,,,,,,,,,
The Serpent,Still Remains,,,metalcore,,2007,,,,,,,,,
Sleight of Hand,Parkway Drive,,,"hardcore, metalcore",,2012,,,,,,,,,
False Idols,Unearth,,,metalcore,,2004,,,,,,,,,
On Wings Of Integrity,MyChildren MyBride,,,"hardcore, metalcore",,2012,,,,,,,,,
Like a Cat,The Number Twelve Looks Like You,,,"hardcore, metalcore, screamo, grindcore",,2005,,,,,,,,,
The Failsafe,Misery Signals,,,"hardcore, metalcore, progressive_metal, post_hardcore",,2006,,,,,,,,,
Wolfbiker,Evergreen Terrace,,,"hardcore, metalcore, post_hardcore",,2007,,,,,,,,,
Pathos,Darkest Hour,,,"instrumental, metalcore, melodic_death_metal",,2005,,,,,,,,,
Page One,Texas in July,,,metalcore,,2009,,,,,,,,,
Ghost In The Mirror,Memphis May Fire,,,"metalcore, post_hardcore, screamo",,2009,,,,,,,,,
Reinvention,As I Lay Dying,,,"hardcore, metalcore, screamo",,2006,,,,,,,,,
My Best Wishes,I Killed the Prom Queen,,,metalcore,,2008,,,,,,,,,
We Only Come Out at Night,Motionless in White,,,"metalcore, post_hardcore",,2011,,,,,,,,,
The Worst Part Is Waking Up,This Romantic Tragedy,,,"hardcore, metalcore, post_hardcore, screamo",,2009,,,,,,,,,
2,blessthefall,,,"metalcore, post_hardcore, screamo",,2009,,,,,,,,,
Son Of The Morning,"Oh, Sleeper",,,"hardcore, metalcore, post_hardcore, screamo",,2009,,,,,,,,,
The Oracle,Haste the Day,,,"metalcore, post_hardcore, screamo",,2010,,,,,,,,,
Don't Pray For Me,Asking Alexandria,,,"metalcore, post_hardcore, screamo",,2013,,,,,,,,,
The Conflict,The Ghost Inside,,,"hardcore, metalcore",,2010,,,,,,,,,
Insatiable,Atreyu,,,"metalcore, post_hardcore, screamo",,2009,,,,,,,,,
"Once Bitten, Twice Shy",Blinded Colony,,,"metalcore, melodic_death_metal, swedish",,2006,,,,,,,,,
Reaction,Between the Buried and Me,,,"metalcore, progressive_metal",,2003,,,,,,,,,
Asthma,P.O.D.,,,"rock, alternative_rock, metalcore, nu_metal",,2003,,,,,,,,,
Deep Sea Creature,Mastodon,,,"metalcore, progressive_metal",,2006,,,,,,,,,
68,Haste the Day,,,metalcore,,2012,,,,,,,,,
Nihilist,Architects,,,"metal, metalcore, post_hardcore",,2016,,,,,,,,,
Walk Like The Dead,Caliban,,,metalcore,,2009,,,,,,,,,
Tunguska,Darkest Hour,,,"metalcore, melodic_death_metal",,2007,,,,,,,,,
Lost At Sea,In This Moment,,,metalcore,,2008,,,,,,,,,
North Atlantic vs. North Carolina,Memphis May Fire,,,"hardcore, metalcore, post_hardcore",,2009,,,,,,,,,
Tragedy of Empty Streets,Bleeding Through,,,"metal, hardcore, metalcore, melodic_death_metal",,2008,,,,,,,,,
All I Am,36 Crazyfists,,,"metalcore, nu_metal",,2002,,,,,,,,,
Mybestfriends.com,Heaven Shall Burn,,,"metalcore, melodic_death_metal",,2006,,,,,,,,,
So Wrong,Atreyu,,,"metal, metalcore, screamo",,2009,,,,,,,,,
Beauty is in The Eyes Of The Beerholder,I Set My Friends on Fire,,,"experimental, metalcore, post_hardcore, screamo",,2008,,,,,,,,,
Dearly Demented,Bleeding Through,,,"metalcore, melodic_death_metal",,2008,,,,,,,,,
Forsaken Horizon,Caliban,,,"metalcore, german",,2003,,,,,,,,,
In The Desert,Architects,,,"metal, metalcore, melodic_death_metal",,2006,,,,,,,,,
Brave Reality,Evergreen Terrace,,,"hardcore, metalcore, screamo",,2005,,,,,,,,,
The Ones We Left Behind,All Shall Perish,,,"metal, instrumental, metalcore",,2008,,,,,,,,,
The Mullet Burden,The Dillinger Escape Plan,,,"hardcore, metalcore",,1998,,,,,,,,,
Dead To The World,Bullet for My Valentine,,,"metal, metalcore",,2013,,,,,,,,,
Blue 42,Haste the Day,,,"metalcore, screamo",,2010,,,,,,,,,
Contradiction,Sonic Syndicate,,,"metal, metalcore, melodic_death_metal",,2008,,,,,,,,,
"If We're Going Out, Let's Go Out In Style",Greeley Estates,,,"metalcore, post_hardcore, screamo",,2009,,,,,,,,,
The End Of All Things Will Be Televised,Norma Jean,,,"hardcore, metalcore, screamo",,2014,,,,,,,,,
The Victim,Memphis May Fire,,,"metalcore, post_hardcore",,2011,,,,,,,,,
Dogfight,Evergreen Terrace,,,"hardcore, metalcore",,2005,,,,,,,,,
Keep The Heat On The Dash,Greeley Estates,,,"metalcore, post_hardcore, screamo",,2009,,,,,,,,,
AGITATED SCREAMS OF MAGGOTS,DIR EN GREY,,,"metalcore, japanese",,2006,,,,,,,,,
The Year Summer Ended in June,Misery Signals,,,"hardcore, metalcore, post_hardcore",,2004,,,,,,,,,
Purple,HORSE the band,,,"hardcore, metalcore",,2003,,,,,,,,,
Forgiveness Is Murder,I Killed the Prom Queen,,,"metal, metalcore, post_hardcore, screamo",,2004,,,,,,,,,
The Perfect Night,Haste the Day,,,"metalcore, screamo",,2010,,,,,,,,,
Surrender Your Sons...,Norma Jean,,,"hardcore, metalcore, progressive_metal, post_hardcore",,2016,,,,,,,,,
Impact,Stick to Your Guns,,,"hardcore, metalcore",,2008,,,,,,,,,
A Certain Death,Misery Signals,,,"metalcore, post_hardcore",,2008,,,,,,,,,
Cutman,Unearth,,,metalcore,,2008,,,,,,,,,
My Transition,Amaranthe,,,"metalcore, progressive_metal, melodic_death_metal, power_metal",,2011,,,,,,,,,
No End In Sight,Killswitch Engage,,,"metalcore, melodic_death_metal",,2013,,,,,,,,,
Dying In Silence,Heaven Shall Burn,,,"metalcore, melodic_death_metal",,2006,,,,,,,,,
The Fight,Avenged Sevenfold,,,"metal, hard_rock, heavy_metal, metalcore, post_hardcore, nu_metal",,2020,,,,,,,,,
All For Revenge,Terror,,,"hardcore, metalcore",,2006,,,,,,,,,
Crossing The Rubicon,The Human Abstract,,,"metalcore, progressive_metal",,2009,,,,,,,,,
God Bless You,Black Veil Brides,,,"rock, female_vocalists, alternative_rock, hard_rock, metalcore, post_hardcore, screamo",,2011,,,,,,,,,
Not Ready To Die,Demon Hunter,,,metalcore,,2009,,,,,,,,,
The Itch,Element Eighty,,,"alternative, metal, alternative_rock, metalcore, nu_metal",,2006,,,,,,,,,
Mark My Words,Hatebreed,,,"hardcore, metalcore",,1997,,,,,,,,,
America The Pitiful,Dope,,,"rock, metal, metalcore, nu_metal",,1999,,,,,,,,,
Handsome Shoved His Gloves,HORSE the band,,,"hardcore, metalcore, screamo",,2003,,,,,,,,,
Cast the First Stone,We Came As Romans,,,"metalcore, post_hardcore",,2011,,,,,,,,,
My Little Secret,Caliban,,,"metalcore, german",,2004,,,,,,,,,
Kansas,The Devil Wears Prada,,,"metalcore, post_rock",,2012,,,,,,,,,
The Back Harlow Road,36 Crazyfists,,,"metal, metalcore, nu_metal",,2008,,,,,,,,,
VINUSHKA,DIR EN GREY,,,"metalcore, japanese, progressive_metal",,2008,,,,,,,,,
Eye Of The Needle,Haste the Day,,,metalcore,,2010,,,,,,,,,
The Closest Thing To Closure,Haste the Day,,,"hardcore, metalcore, post_hardcore, screamo",,2010,,,,,,,,,
Sensory Deprivation Adventure,From Autumn To Ashes,,,"hardcore, metalcore, post_hardcore, screamo",,2007,,,,,,,,,
Not I,Demon Hunter,,,"metal, metalcore, melodic_death_metal",,2005,,,,,,,,,
Salt & Light,August Burns Red,,,metalcore,,2011,,,,,,,,,
Who Wants Flowers When You're Dead? Nobody,Bring Me the Horizon,,,"metalcore, screamo",,2006,,,,,,,,,
Self Employed Chemist,Norma Jean,,,"metal, hardcore, metalcore, post_hardcore",,2008,,,,,,,,,
A Year From Now,Across Five Aprils,,,"acoustic, metalcore, emo, post_hardcore, screamo",,2006,,,,,,,,,
Bad Vibrations,A Day to Remember,,,"hardcore, metalcore",,2016,,,,,,,,,
In Reply,Confide,,,"metal, metalcore, post_hardcore, screamo",,2009,,,,,,,,,
Timing Is Everything,Our Last Night,,,"hardcore, metalcore, post_hardcore, screamo",,2008,,,,,,,,,
American Love,Haste the Day,,,"hardcore, metalcore, screamo",,2016,,,,,,,,,
The Switch,From Autumn To Ashes,,,"hardcore, metalcore, post_hardcore, screamo",,2001,,,,,,,,,
City Lights,Motionless in White,,,"metalcore, post_hardcore, gothic_metal",,2010,,,,,,,,,
They Faced Each Other,The Chariot,,,"hardcore, metalcore",,2007,,,,,,,,,
Dead Like Me,Bleeding Through,,,metalcore,,2003,,,,,,,,,
Saints & Sinners,Bullet for My Valentine,,,"metal, metalcore",,2013,,,,,,,,,
Tapestry,Protest the Hero,,,"metalcore, progressive_metal, post_hardcore",,2011,,,,,,,,,
Never Giving Up,Of Mice & Men,,,"rock, electronic, hardcore, metalcore, emo, post_hardcore, beautiful, screamo, nu_metal",,2015,,,,,,,,,
Letter Thing,Poison the Well,,,"hardcore, metalcore, post_hardcore",,2007,,,,,,,,,
Waiting On A War,36 Crazyfists,,,"metalcore, screamo, nu_metal",,2008,,,,,,,,,
Colony Collapse,Architects,,,"metalcore, post_hardcore, screamo",,2014,,,,,,,,,
Red Eyed Friend,Sonic Syndicate,,,"metalcore, melodic_death_metal, power_metal, swedish",,2008,,,,,,,,,
Nein,Otep,,,"metal, metalcore, gothic_metal, nu_metal",,2004,,,,,,,,,
Singularity,Born of Osiris,,,"metalcore, progressive_metal",,2011,,,,,,,,,
That Fire,Black Tide,,,"metal, metalcore",,2011,,,,,,,,,
Destiny For The Willing,Memphis May Fire,,,"metalcore, post_hardcore",,2009,,,,,,,,,
Through the Looking Glass,For the Fallen Dreams,,,"hardcore, metalcore",,2008,,,,,,,,,
"No Guts, No Glory",Adept,,,"metalcore, post_hardcore, screamo",,2011,,,,,,,,,
Brief Interviews With Hideous Men,I Set My Friends on Fire,,,"metalcore, post_hardcore, screamo",,2008,,,,,,,,,
Feather Of Lead,Architects,,,"metalcore, post_hardcore, screamo",,2012,,,,,,,,,
Death of the Anti Mother,Norma Jean,,,"metal, hardcore, metalcore, post_hardcore",,2008,,,,,,,,,
Sex Tapes,Protest the Hero,,,"metal, metalcore, progressive_metal, post_hardcore",,2011,,,,,,,,,
Dispossession,Northlane,,,metalcore,,2011,,,,,,,,,
Dark Carnival of the Immaculate,I Am Ghost,,,"metalcore, post_hardcore, gothic, screamo",,2006,,,,,,,,,
Symptoms of a Failing System,Our Last Night,,,"hardcore, metalcore, post_hardcore, screamo",,2008,,,,,,,,,
Bohemian Grove,Emmure,,,"hardcore, metalcore",,2011,,,,,,,,,
Carolyn,Black Veil Brides,,,"rock, metalcore, emo, post_hardcore",,2011,,,,,,,,,
If I Could See,Haste the Day,,,"metalcore, post_hardcore, screamo, grindcore",,2010,,,,,,,,,
Another You,Of Mice & Men,,,"metalcore, post_hardcore",,2014,,,,,,,,,
Die for You,Black Veil Brides,,,"rock, female_vocalists, alternative_rock, hard_rock, metalcore, post_hardcore, screamo",,2011,,,,,,,,,
Sand,HORSE the band,,,"metalcore, post_hardcore",,2005,,,,,,,,,
The Greatest Gift Of God,Heaven Shall Burn,,,"metalcore, german, melodic_death_metal",,2006,,,,,,,,,
Travel,From Autumn To Ashes,,,"hardcore, metalcore, post_hardcore, screamo",,2007,,,,,,,,,
Creations,Miss May I,,,metalcore,,2010,,,,,,,,,
The Rabbit Hole,In This Moment,,,"metal, metalcore, gothic_metal, symphonic_metal",,2008,,,,,,,,,
Wormholes,Volumes,,,"metalcore, progressive_metal",,2011,,,,,,,,,
Scent Of The Obscene,Sikth,,,"experimental, metalcore, progressive_metal",,2011,,,,,,,,,
A Grand Scene For A Color Film,Norma Jean,,,"metalcore, screamo",,2014,,,,,,,,,
Just Drive,In This Moment,,,"metal, metalcore, nu_metal",,2010,,,,,,,,,
Dream Catcher,The Word Alive,,,"metalcore, post_hardcore, screamo",,2011,,,,,,,,,
And Shot Each Other,The Chariot,,,"hardcore, metalcore, post_hardcore",,2011,,,,,,,,,
Crows,While She Sleeps,,,"hardcore, metalcore, post_hardcore, screamo",,2010,,,,,,,,,
For The Record,Every Time I Die,,,"metal, hardcore, metalcore",,2009,,,,,,,,,
Gears,Miss May I,,,"metalcore, post_hardcore, screamo",,2010,,,,,,,,,
We Are The Archers,"Oh, Sleeper",,,"hardcore, metalcore, post_hardcore",,2007,,,,,,,,,
The Creature Walks,He Is Legend,,,"rock, hardcore, metalcore, post_hardcore, chill",,2004,,,,,,,,,
Serendipity,Amaranthe,,,"metal, metalcore, melodic_death_metal, power_metal",,2011,,,,,,,,,
Love It or Left It,From Autumn To Ashes,,,"hardcore, metalcore, post_hardcore, screamo",,2007,,,,,,,,,
Devil's Night,Motionless in White,,,"metalcore, post_hardcore, screamo",,2012,,,,,,,,,
The Abandoned,Memphis May Fire,,,"metalcore, post_hardcore",,2011,,,,,,,,,
Whoa! Shut It Down,The Acacia Strain,,,"hardcore, metalcore",,2006,,,,,,,,,
A War Inside,We Came As Romans,,,"metalcore, post_hardcore, screamo",,2011,,,,,,,,,
Leveler,August Burns Red,,,metalcore,,2011,,,,,,,,,
Naenia,It Dies Today,,,"metal, hardcore, metalcore, post_hardcore, screamo",,2004,,,,,,,,,
Pussyfoot,Sikth,,,"metalcore, progressive_metal",,2003,,,,,,,,,
Jay Walking Backwards,The Number Twelve Looks Like You,,,"experimental, metalcore, post_hardcore, screamo, grindcore",,2007,,,,,,,,,
The Hoard,As Cities Burn,,,"rock, metalcore, post_hardcore, screamo",,2007,,,,,,,,,
Enough Is Enough,Stick to Your Guns,,,"hardcore, metalcore",,2008,,,,,,,,,
Half Full Glass Of Wine,Tame Impala,,,"rock, psychedelic, psychedelic_rock",,2008,,,,,,,,,
When You Die,MGMT,,,"indie_rock, psychedelic, new_wave, american, indie_pop, synthpop",,2018,,,,,,,,,
The Bunting Song,"The Good, the Bad & the Queen",,,"alternative, indie, psychedelic, male_vocalists, britpop",,2007,,,,,,,,,
Godless,The Dandy Warhols,,,"rock, alternative, indie, indie_rock, psychedelic, 00s",,2013,,,,,,,,,
The Breeze,Dr. Dog,,,"indie, psychedelic",,2008,,,,,,,,,
Anemone,The Brian Jonestown Massacre,,,"rock, indie, psychedelic, psychedelic_rock",,2011,,,,,,,,,
To Be Where There's Life,Oasis,,,"rock, psychedelic, psychedelic_rock, britpop",,2008,,,,,,,,,
Vomit,Girls,,,"alternative, indie, indie_rock, psychedelic, american, indie_pop, love, psychedelic_rock, mellow",,2011,,,,,,,,,
Fake Blues,Real Estate,,,"indie, psychedelic, psychedelic_rock, chill",,2009,,,,,,,,,
Dream At Tempo 119,Silversun Pickups,,,"rock, alternative, indie, indie_rock, psychedelic, chill",,2007,,,,,,,,,
The Trip,Still Corners,,,"indie, psychedelic, indie_pop, love, mellow",,2013,,,,,,,,,
Ain't Got Nothin',Oasis,,,"rock, psychedelic, psychedelic_rock, britpop",,2008,,,,,,,,,
Sit And Wonder,The Verve,,,"rock, alternative, indie, british, psychedelic, love, britpop",,2008,,,,,,,,,
Who Feels Love?,Oasis,,,"rock, psychedelic, psychedelic_rock, britpop",,2010,,,,,,,,,
Dead Sound,The Raveonettes,,,"rock, indie, psychedelic, post_punk, indie_pop, beautiful, 00s",,2007,,,,,,,,,
Gas Panic!,Oasis,,,"rock, psychedelic, psychedelic_rock, britpop",,2000,,,,,,,,,
I'm Mad,The Dead Weather,,,"alternative_rock, psychedelic",,2010,,,,,,,,,
Forever Heavy,Black Moth Super Rainbow,,,"electronic, psychedelic, post_rock, trip_hop, 00s",,2007,,,,,,,,,
Can't Seem To Make You Mine,The Seeds,,,"psychedelic, 60s, psychedelic_rock",,1969,,,,,,,,,
Lisa Says,The Velvet Underground,,,"rock, alternative, classic_rock, psychedelic, 60s, psychedelic_rock",,1989,,,,,,,,,
The Daily Planet,Love,,,"rock, classic_rock, psychedelic, american, 60s, love, psychedelic_rock",,2003,,,,,,,,,
Head Up High,Black Rebel Motorcycle Club,,,"rock, alternative, indie, indie_rock, psychedelic, post_punk",,2001,,,,,,,,,
Some Velvet Morning,Slowdive,,,"psychedelic, cover",,1994,,,,,,,,,
Home of the Brave,Spiritualized,,,"rock, alternative, psychedelic",,1997,,,,,,,,,
Blues From An Airplane,Jefferson Airplane,,,"classic_rock, psychedelic, 60s, psychedelic_rock",,2003,,,,,,,,,
Introducing Palace Players,Mew,,,"rock, alternative, indie, indie_rock, psychedelic",,2010,,,,,,,,,
Franklin's Tower,Grateful Dead,,,"rock, classic_rock, psychedelic, 70s, 60s",,2013,,,,,,,,,
Hey Dude,Kula Shaker,,,"rock, alternative, 90s, psychedelic, psychedelic_rock, britpop",,2015,,,,,,,,,
In The Darkness,Foxygen,,,"rock, indie, indie_rock, psychedelic, american, indie_pop",,2013,,,,,,,,,
Boogie Down,MGMT,,,"electronic, indie, indie_rock, psychedelic, american, 00s, chill",,2005,,,,,,,,,
Despicable Dogs,Small Black,,,"electronic, psychedelic, indie_pop",,2010,,,,,,,,,
666 Conducer,Black Rebel Motorcycle Club,,,"rock, alternative_rock, psychedelic, 00s, blues_rock",,2007,,,,,,,,,
Nietzsche,The Dandy Warhols,,,"rock, alternative, indie, indie_rock, psychedelic, psychedelic_rock, grunge, chill",,2013,,,,,,,,,
Shut Down,The Beach Boys,,,"rock, classic_rock, psychedelic, 60s, oldies",,2013,,,,,,,,,
Earth Blues,Jimi Hendrix,,,"rock, classic_rock, psychedelic, 70s, 60s, psychedelic_rock, blues_rock",,1997,,,,,,,,,
Fire on the Mountain,Grateful Dead,,,"classic_rock, psychedelic, 70s, psychedelic_rock",,1978,,,,,,,,,
Suburban Beverage,Real Estate,,,"indie, psychedelic, psychedelic_rock, 00s, chill",,2009,,,,,,,,,
How I Know,Toro y Moi,,,"indie, psychedelic, funk, american, indie_pop, lounge",,2011,,,,,,,,,
Primary Colours,The Horrors,,,"indie_rock, psychedelic, new_wave, post_punk, psychedelic_rock, 00s",,2009,,,,,,,,,
2000 Light Years From Home,The Rolling Stones,,,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",,1967,,,,,,,,,
I Want Her She Wants Me,The Zombies,,,"classic_rock, psychedelic, 60s, oldies",,2007,,,,,,,,,
A Violent Yet Flammable World,Au Revoir Simone,,,"electronic, indie, female_vocalists, psychedelic, indie_pop, synthpop",,2007,,,,,,,,,
Holy Mountain,Sleep,,,"psychedelic, doom_metal",,2003,,,,,,,,,
Sea Of Joy,Blind Faith,,,"rock, classic_rock, psychedelic, 70s, blues_rock",,1969,,,,,,,,,
Breaking Into Heaven,The Stone Roses,,,"rock, indie, psychedelic, guitar, britpop",,2002,,,,,,,,,
Tattva,Kula Shaker,,,"rock, indie, 90s, psychedelic, psychedelic_rock, britpop",,2001,,,,,,,,,
Bummer in the Summer,Love,,,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",,2007,,,,,,,,,
Whitewater,Kyuss,,,psychedelic,,1994,,,,,,,,,
Boys Better,The Dandy Warhols,,,"rock, alternative, indie, indie_rock, 90s, psychedelic, male_vocalists, britpop",,2003,,,,,,,,,
Spiral Static,Muse,,,"rock, alternative, alternative_rock, psychedelic, 00s, britpop",,1999,,,,,,,,,
Making Time,The Creation,,,"psychedelic, 60s, oldies",,2018,,,,,,,,,
Pictures Of Matchstick Men,Status Quo,,,"rock, classic_rock, psychedelic, 60s, oldies, psychedelic_rock",,2015,,,,,,,,,
Skeleton Tiger,Tame Impala,,,"rock, psychedelic, psychedelic_rock, 00s",,2008,,,,,,,,,
Black Magic Woman/Gypsy Queen,Santana,,,"rock, classic_rock, psychedelic, 70s, psychedelic_rock, guitar, blues_rock",,2010,,,,,,,,,
"Jackals, False Grails: The Lonesome Era",Pavement,,,"rock, alternative, indie, alternative_rock, indie_rock, 90s, psychedelic, post_punk",,1992,,,,,,,,,
Greasy Heart,Jefferson Airplane,,,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",,1970,,,,,,,,,
All You Do Is Talk,Black Rebel Motorcycle Club,,,"rock, indie, alternative_rock, indie_rock, psychedelic, guitar",,2007,,,,,,,,,
Live and Let Live,Love,,,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",,1967,,,,,,,,,
Dopesmoker,Sleep,,,"psychedelic, doom_metal",,2003,,,,,,,,,
Can't Help But Smiling,Devendra Banhart,,,"indie, folk, singer_songwriter, psychedelic",,2009,,,,,,,,,
The Witching Hour,Wild Nothing,,,"psychedelic, psychedelic_rock",,2010,,,,,,,,,
Plan A,The Dandy Warhols,,,"rock, alternative, indie, indie_rock, psychedelic, synthpop, britpop, chill",,2009,,,,,,,,,
Come Up The Years,Jefferson Airplane,,,"classic_rock, psychedelic, 60s, psychedelic_rock",,2005,,,,,,,,,
You Set the Scene,Love,,,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",,1967,,,,,,,,,
I See Houses,The Verve,,,"rock, alternative, indie, british, psychedelic, psychedelic_rock, britpop",,2008,,,,,,,,,
I Had Too Much To Dream (Last Night),The Electric Prunes,,,"psychedelic, 60s, psychedelic_rock",,2008,,,,,,,,,
Crystallized,Melody's Echo Chamber,,,"indie, psychedelic, psychedelic_rock, french",,2013,,,,,,,,,
Beechwood Park,The Zombies,,,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",,2007,,,,,,,,,
The Ghost Who Walks,Karen Elson,,,"alternative, indie, female_vocalists, psychedelic, psychedelic_rock, chill",,2010,,,,,,,,,
One At A Time,Unknown Mortal Orchestra,,,"rock, indie, indie_rock, psychedelic, psychedelic_rock",,2013,,,,,,,,,
I Remember When,The Coral,,,"indie, british, psychedelic, britpop",,2002,,,,,,,,,
The Apocalypse Song,St. Vincent,,,"rock, alternative, female_vocalists, psychedelic, pop_rock, avant_garde",,2007,,,,,,,,,
Inner Meet Me,The Beta Band,,,"rock, alternative, indie, psychedelic, britpop, chill",,1998,,,,,,,,,
Go And Say Goodbye,Buffalo Springfield,,,"rock, classic_rock, psychedelic, 60s, oldies",,1969,,,,,,,,,
I Will (Los Angeles Version),Radiohead,,,"alternative, psychedelic, emo, chill",,2003,,,,,,,,,
Tell Her No,The Zombies,,,"classic_rock, psychedelic, 60s, oldies",,2008,,,,,,,,,
All The Flowers,Bibio,,,"electronic, folk, british, chillout, psychedelic",,2009,,,,,,,,,
